frame x y z 
8106 4.7249 19.5409 0.137062
8123 4.28544 20.1035 0.621212
8165 3.18419 18.0761 0.486216
8183 3.02119 17.408 0.341478
8255 3.31958 16.1326 0.0379353
-1 0 0 0
8265 4.00751 17.8404 3.04545
8269 4.20457 18.3551 3.37906
8273 4.3949 19.0157 3.53136
8281 4.70061 19.5212 3.29959
8286 4.83015 19.1626 3.16412
8292 5.04007 18.7381 2.87313
8296 5.14492 18.4449 2.50752
8301 5.36546 18.1761 1.7646
8309 5.57706 17.6789 0.097779
8338 5.84153 16.0162 0.0827469
8361 5.74804 16.0971 0.28412
-1 0 0 0
8371 5.18132 17.7604 3.06353
8376 4.95064 18.5088 3.34529
8382 4.70233 19.2515 3.37037
8387 4.47321 19.7485 3.15824
8392 4.38452 19.3501 3.24097
8397 4.28645 19.0452 3.04445
8403 4.16919 18.6035 2.50612
8408 4.07336 18.2953 1.73487
8414 3.96208 17.895 0.397714
8453 3.38776 16.8486 0.242227
8461 3.37208 17.4052 2.009
8465 3.15629 16.8723 0.26555
-1 0 0 0
8469 4.10206 19.1848 3.56673
8475 4.26505 19.6902 3.55562
-1 0 0 0
8479 3.44237 17.0507 1.70192
8483 3.58063 17.2296 0.163666
-1 0 0 0
8491 4.35304 18.5452 2.97793
8496 4.3834 18.2679 2.46558
8501 4.35716 17.9778 1.95749
8532 4.45272 17.1782 0.165334
8538 4.22612 16.6843 1.48702
8544 4.45611 18.6612 3.31945
8550 4.44779 19.354 3.36666
-1 0 0 0
8560 4.79374 16.8177 0.95006
-1 0 0 0
8579 4.47758 19.6842 2.09487
8584 4.44739 19.792 1.40751
8589 4.4328 19.9127 0.373255
8598 4.41201 20.127 1.04694
8628 4.31883 19.9173 1.50548
8650 4.24844 20.8111 1.55393
8685 5.38029 20.8866 1.47831
-1 0 0 0
9218 -1.67869 3.52651 0.729838
9435 -1.84119 3.59193 0.610893
9446 -1.67404 3.67487 0.77833
9478 -1.83226 3.60215 0.585834
9497 -1.9835 3.77087 0.514814
9682 -1.78485 5.46463 0.452243
10461 -0.597777 6.84943 1.41243
